"","stfips","ctfips","st","cty","lon","lat","Uppm"
"1",1,1,"AL","AUTAUGA",-86.643,32.534,1.78331
"2",1,3,"AL","BALDWIN",-87.75,30.661,1.38323
"3",1,5,"AL","BARBOUR",-85.393,31.87,2.10105
"4",1,7,"AL","BIBB",-87.126,32.998,1.67313
"5",1,9,"AL","BLOUNT",-86.568,33.981,1.88501
"6",1,11,"AL","BULLOCK",-85.716,32.1,2.46112
"7",1,13,"AL","BUTLER",-86.68,31.752,1.91714
"8",1,15,"AL","CALHOUN",-85.827,33.772,1.97532
"9",1,17,"AL","CHAMBERS",-85.392,32.914,1.75695
"10",1,19,"AL","CHEROKEE",-85.604,34.176,1.76798
"11",1,21,"AL","CHILTON",-86.719,32.848,1.83799
"12",1,23,"AL","CHOCTAW",-88.261,32.022,1.60929
"13",1,25,"AL","CLARKE",-87.831,31.679,1.52789
"14",1,27,"AL","CLAY",-85.861,33.269,2.33412
"15",1,29,"AL","CLEBURNE",-85.519,33.674,2.22778
"16",1,31,"AL","COFFEE",-85.988,31.402,1.76784
"17",1,33,"AL","COLBERT",-87.805,34.7,1.90109
"18",1,35,"AL","CONECUH",-86.994,31.429,1.63786
"19",1,37,"AL","COOSA",-86.247,32.936,2.1924
"20",1,39,"AL","COVINGTON",-86.451,31.248,1.55775
"21",1,41,"AL","CRENSHAW",-86.314,31.731,1.94381
"22",1,43,"AL","CULLMAN",-86.868,34.132,2.02159
"23",1,45,"AL","DALE",-85.611,31.432,1.55431
"24",1,47,"AL","DALLAS",-87.107,32.325,2.33182
"25",1,49,"AL","DEKALB",-85.804,34.46,1.72305
"26",1,51,"AL","ELMORE",-86.15,32.597,2.12026
"27",1,53,"AL","ESCAMBIA",-87.162,31.126,1.51034
"28",1,55,"AL","ETOWAH",-86.035,34.045,1.90331
"29",1,57,"AL","FAYETTE",-87.739,33.721,1.77771
"30",1,59,"AL","FRANKLIN",-87.844,34.442,1.853
"31",1,61,"AL","GENEVA",-85.839,31.095,1.53492
"32",1,63,"AL","GREENE",-87.953,32.85,2.09821
"33",1,65,"AL","HALE",-87.628,32.764,2.21468
"34",1,67,"AL","HENRY",-85.242,31.514,1.74295
"35",1,69,"AL","HOUSTON",-85.303,31.153,1.68112
"36",1,71,"AL","JACKSON",-85.999,34.779,1.98385
"37",1,73,"AL","JEFFERSON",-86.897,33.554,1.98541
"38",1,75,"AL","LAMAR",-88.097,33.779,1.77351
"39",1,77,"AL","LAUDERDALE",-87.654,34.901,1.91972
"40",1,79,"AL","LAWRENCE",-87.311,34.522,2.09307
"41",1,81,"AL","LEE",-85.356,32.601,2.09977
"42",1,83,"AL","LIMESTONE",-86.981,34.81,2.26398
"43",1,85,"AL","LOWNDES",-86.651,32.153,2.49318
"44",1,87,"AL","MACON",-85.693,32.386,2.42199
"45",1,89,"AL","MADISON",-86.55,34.763,2.44822
"46",1,91,"AL","MARENGO",-87.787,32.247,2.02724
"47",1,93,"AL","MARION",-87.887,34.136,1.77443
"48",1,95,"AL","MARSHALL",-86.307,34.367,1.88005
"49",1,97,"AL","MOBILE",-88.198,30.685,1.20665
"50",1,99,"AL","MONROE",-87.366,31.57,1.61623
"51",1,101,"AL","MONTGOMERY",-86.208,32.22,2.63408
"52",1,103,"AL","MORGAN",-86.854,34.453,2.12288
"53",1,105,"AL","PERRY",-87.294,32.639,2.25754
"54",1,107,"AL","PICKENS",-88.089,33.281,1.9366
"55",1,109,"AL","PIKE",-85.941,31.802,1.91657
"56",1,111,"AL","RANDOLPH",-85.459,33.294,2.34661
"57",1,113,"AL","RUSSELL",-85.185,32.289,2.3961
"58",1,115,"AL","STCLAIR",-86.315,33.715,1.79294
"59",1,117,"AL","SHELBY",-86.66,33.264,1.82097
"60",1,119,"AL","SUMTER",-88.2,32.588,2.0113
"61",1,121,"AL","TALLADEGA",-86.165,33.379,2.05354
"62",1,123,"AL","TALLAPOOSA",-85.798,32.862,1.77118
"63",1,125,"AL","TUSCALOOSA",-87.525,33.289,1.71188
"64",1,127,"AL","WALKER",-87.297,33.803,1.97736
"65",1,129,"AL","WASHINGTON",-88.208,31.408,1.48708
"66",1,131,"AL","WILCOX",-87.308,31.989,1.84745
"67",1,133,"AL","WINSTON",-87.374,34.149,1.68318
"68",4,1,"AZ","APACHE",-109.488,35.396,2.26437
"69",4,3,"AZ","COCHISE",-109.751,31.879,2.34707
"70",4,5,"AZ","COCONINO",-111.77,35.839,2.01841
"71",4,7,"AZ","GILA",-110.812,33.801,2.3866
"72",4,9,"AZ","GRAHAM",-109.887,32.933,2.40633
"73",4,11,"AZ","GREENLEE",-109.24,33.215,1.58747
"74",4,12,"AZ","LAPAZ",-113.98,33.729,0
"75",4,13,"AZ","MARICOPA",-112.491,33.349,3.11518
"76",4,15,"AZ","MOHAVE",-113.757,35.704,2.71407
"77",4,17,"AZ","NAVAJO",-110.321,35.4,2.42466
"78",4,19,"AZ","PIMA",-111.789,32.097,3.43326
"79",4,21,"AZ","PINAL",-111.344,32.904,2.99849
"80",4,23,"AZ","SANTACRUZ",-110.846,31.526,3.76713
"81",4,25,"AZ","YAVAPAI",-112.554,34.6,2.66527
"82",4,27,"AZ","YUMA",-113.904,32.769,3.39032
"83",5,1,"AR","ARKANSAS",-91.374,34.291,1.84946
"84",5,3,"AR","ASHLEY",-91.768,33.191,1.73017
"85",5,5,"AR","BAXTER",-92.336,36.287,1.50418
"86",5,7,"AR","BENTON",-94.259,36.339,1.4714
"87",5,9,"AR","BOONE",-93.091,36.308,1.53893
"88",5,11,"AR","BRADLEY",-92.162,33.465,1.66546
"89",5,13,"AR","CALHOUN",-92.504,33.559,1.67584
"90",5,15,"AR","CARROLL",-93.54,36.341,1.52575
"91",5,17,"AR","CHICOT",-91.295,33.267,1.89498
"92",5,19,"AR","CLARK",-93.176,34.051,1.7161
"93",5,21,"AR","CLAY",-90.417,36.369,2.12144
