"","st_fips","st_year","st_state","st_stateabb","st_total","st_dem","st_rep","st_repshare","st_demshare","st_income","st_inc10k"
"1",1,1968,"Alabama","AL",1050,197,147,0.427325576543808,0.57267439365387,11662.7568359375,1.1662757396698
"2",2,1968,"Alaska","AK",83,35,38,0.520547926425934,0.479452043771744,20388.44921875,2.03884482383728
"3",4,1968,"Arizona","AZ",487,171,267,0.609589040279388,0.390410959720612,14864.884765625,1.48648846149445
"4",5,1968,"Arkansas","AR",610,185,189,0.505347609519958,0.494652420282364,11124.0810546875,1.11240816116333
"5",6,1968,"California","CA",7252,3244,3468,0.51668655872345,0.483313471078873,19362.400390625,1.93624007701874
"6",8,1968,"Colorado","CO",811,335,409,0.549731194972992,0.450268805027008,15724.201171875,1.57242012023926
"7",9,1968,"Connecticut","CT",1256,622,557,0.472434252500534,0.527565717697144,20666.337890625,2.06663370132446
"8",10,1968,"Delaware","DE",214,89,97,0.521505355834961,0.478494614362717,18857.92578125,1.88579261302948
"9",12,1968,"Florida","FL",2188,677,887,0.567135572433472,0.432864457368851,15621.5966796875,1.56215965747833
"10",13,1968,"Georgia","GA",1250,334,380,0.532212913036346,0.467787116765976,13449.79296875,1.34497928619385
"11",15,1968,"Hawaii","HI",236,141,91,0.392241388559341,0.607758641242981,19422.25390625,1.9422253370285
"12",16,1968,"Idaho","ID",291,89,165,0.649606287479401,0.350393712520599,13847.38671875,1.38473868370056
"13",17,1968,"Illinois","IL",4620,2040,2175,0.516014218330383,0.483985751867294,18562.9375,1.85629379749298
"14",18,1968,"Indiana","IN",2124,807,1068,0.569599986076355,0.430400013923645,15758.4033203125,1.57584035396576
"15",19,1968,"Iowa","IA",1168,477,619,0.564781010150909,0.435218989849091,15630.146484375,1.56301462650299
"16",20,1968,"Kansas","KS",873,303,479,0.612531960010529,0.387468039989471,15176.9755859375,1.51769757270813
"17",21,1968,"Kentucky","KY",1056,398,462,0.537209331989288,0.462790697813034,12624.677734375,1.26246774196625
"18",22,1968,"Louisiana","LA",1097,310,258,0.454225361347198,0.545774638652802,12346.7900390625,1.23467898368835
"19",23,1968,"Maine","ME",393,217,169,0.437823832035065,0.562176167964935,13385.6650390625,1.33856654167175
"20",24,1968,"Maryland","MD",1235,538,518,0.49053031206131,0.50946968793869,17938.7578125,1.79387581348419
"21",25,1968,"Massachusetts","MA",2332,1469,767,0.343023270368576,0.656976759433746,17960.1328125,1.79601323604584
"22",26,1968,"Michigan","MI",3306,1593,1371,0.462550610303879,0.537449419498444,17780.57421875,1.77805745601654
"23",27,1968,"Minnesota","MN",1589,858,659,0.434410005807877,0.565589964389801,16104.6943359375,1.61046946048737
"24",28,1968,"Mississippi","MS",655,151,89,0.370833337306976,0.629166662693024,10213.462890625,1.0213463306427
"25",29,1968,"Missouri","MO",1810,791,812,0.506550192832947,0.493449777364731,15249.6533203125,1.52496528625488
"26",30,1968,"Montana","MT",274,114,139,0.549407124519348,0.450592875480652,14018.39453125,1.4018394947052
"27",31,1968,"Nebraska","NE",537,171,321,0.652438998222351,0.347560971975327,15262.4794921875,1.52624797821045
"28",32,1968,"Nevada","NV",154,61,73,0.544776141643524,0.455223888158798,19276.896484375,1.92768967151642
"29",33,1968,"New Hampshire","NH",297,131,155,0.541958034038544,0.458041965961456,15972.1630859375,1.59721636772156
"30",34,1968,"New Jersey","NJ",2875,1264,1325,0.511780619621277,0.488219380378723,19289.720703125,1.92897212505341
"31",35,1968,"New Mexico","NM",327,130,170,0.566666662693024,0.433333337306976,12440.8447265625,1.24408447742462
"32",36,1968,"New York","NY",6790,3378,3008,0.471030384302139,0.528969645500183,19614.63671875,1.96146368980408
"33",37,1968,"North Carolina","NC",1587,464,627,0.574702084064484,0.425297886133194,12979.5205078125,1.29795205593109
"34",38,1968,"North Dakota","ND",248,95,139,0.594017088413239,0.405982911586761,13150.5283203125,1.31505286693573
"35",39,1968,"Ohio","OH",3960,1701,1791,0.512886583805084,0.487113416194916,16758.80078125,1.67588007450104
"36",40,1968,"Oklahoma","OK",943,302,450,0.598404228687286,0.401595741510391,13680.6533203125,1.36806535720825
"37",41,1968,"Oregon","OR",820,359,408,0.53194260597229,0.468057364225388,15664.3486328125,1.56643486022949
"38",42,1968,"Pennsylvania","PA",4748,2259,2090,0.480570256710052,0.519429743289948,16288.5283203125,1.62885284423828
"39",44,1968,"Rhode Island","RI",385,247,122,0.330623298883438,0.66937667131424,16472.361328125,1.64723610877991
"40",45,1968,"South Carolina","SC",667,197,254,0.563192903995514,0.436807096004486,12026.1494140625,1.20261490345001
"41",46,1968,"South Dakota","SD",281,118,150,0.559701502323151,0.440298497676849,12864.08984375,1.28640902042389
"42",47,1968,"Tennessee","TN",1249,351,473,0.57402914762497,0.425970882177353,12603.3017578125,1.26033020019531
"43",48,1968,"Texas","TX",3079,1267,1228,0.492184370756149,0.507815659046173,14368.9619140625,1.43689620494843
"44",49,1968,"Utah","UT",423,157,239,0.603535354137421,0.396464645862579,13223.20703125,1.32232069969177
"45",50,1968,"Vermont","VT",161,70,85,0.548387110233307,0.451612889766693,14407.4384765625,1.44074380397797
