STATE,TOTLDF,DOR,DORAVG,HRST,HRAVG,TOTRELFRATE,PERC_EXECUTED
AL,296.0,33.47,32.65,11.61,11.56,77.00,5.00
AR,77.0,15.4,15.65,9.7,9.71,79.00,4.00
AZ,231.0,41.5,39.42,7.92,7.6,70.00,2.00
CA,528.0,9.21,9.14,8.8,8.45,87.00,.40
CO,9.0,2.67,2.74,5.48,5.43,NA,NA
CT,4.0,1.37,1.53,4.09,4.08,NA,NA
DE,20.0,31.32,31.9,5.48,5.44,NA,18.00
FL,851.0,30.19,30.18,10.91,10.41,74.00,4.00
GA,323.0,19.63,19.12,12.78,12.4,80.00,6.00
ID,31.0,48.48,44.16,3.55,3.51,81.00,2.00
IL,238.0,11.26,10.98,8.18,8.16,62.00,3.00
IN,79.0,11.81,10.93,5.61,5.6,75.00,3.00
KY,59.0,10.67,10.24,7.03,7.01,100.00,0.00
LA,122.0,9.88,9.35,12.82,12.8,64.00,16.00
MD,54.0,6.9,6.41,7.78,7.68,100.00,2.00
MO,115.0,13.18,12.67,8.34,8.28,33.00,2.00
MS,131.0,20.76,21.06,12.98,12.98,93.00,13.00
MT,8.0,10.01,13.61,4.65,4.64,87.00,5.00
NC,264.0,22.5,22.75,9.61,9.56,70.00,4.00
NE,20.0,16.0,16.31,3.22,3.21,67.00,5.00
NJ,43.0,6.41,5.94,5.11,5.08,NA,NA
NM,9.0,3.36,3.5,9.98,9.88,NA,NA
NV,101.0,42.42,40.3,10.67,10.03,68.00,3.00
OH,183.0,19.58,18.79,4.63,4.62,NA,NA
OK,191.0,38.74,38.15,8.38,8.36,73.00,3.00
OR,31.0,13.17,13.74,4.7,4.69,NA,NA
PA,265.0,21.67,20.96,4.82,4.81,53.00,0.70
SC,130.0,20.82,20.17,10.23,10.16,67.00,4.00
TN,122.0,14.2,13.77,9.06,8.99,100.00,0.00
TX,665.0,14.64,14.53,11.73,11.36,51.00,14.00
UT,23.0,23.35,19.51,3.34,3.29,66.00,13.00
VA,99.0,10.95,10.98,7.7,7.62,17.00,26.00
WA,15.0,3.74,4.23,4.72,4.69,NA,7.00
WY,5.0,9.98,11.63,4.58,4.55,89.00,10.00
